Row	foldid
P_0002880_T01_IM3	1
P_0002894_T01_IM3	1
P_0002895_T01_IM3	3
P_0002897_T01_IM3	4
P_0002898_T01_IM3	5
P_0002901_T03_IM5	1
P_0002959_T02_IM5	1
P_0002959_T01_IM3	3
P_0002961_T01_IM3	4
P_0002962_T01_IM3	3
P_0002971_T02_IM5	3
P_0002974_T01_IM3	2
P_0002984_T01_IM3	3
P_0002999_T01_IM3	1
P_0003001_T01_IM3	5
P_0003023_T01_IM3	5
P_0003026_T01_IM3	3
P_0003028_T01_IM3	1
P_0003033_T02_IM5	3
P_0003033_T01_IM5	3
P_0003037_T01_IM5	2
P_0003040_T01_IM5	2
P_0003052_T01_IM3	5
P_0003061_T01_IM3	5
P_0003101_T01_IM5	1
P_0003101_T03_IM5	3
P_0003139_T02_IM5	3
P_0003139_T01_IM5	2
P_0003150_T01_IM5	1
P_0003150_T02_IM5	2
P_0003181_T02_IM5	1
P_0003226_T01_IM5	2
P_0003390_T01_IM5	2
P_0003395_T01_IM5	5
P_0003400_T01_IM5	3
P_0003419_T02_IM5	3
P_0003468_T01_IM5	4
P_0003504_T02_IM5	4
P_0003506_T01_IM5	5
P_0003511_T01_IM5	2
P_0003511_T02_IM5	3
P_0003511_T03_IM5	4
P_0003519_T01_IM5	1
P_0003535_T01_IM5	4
P_0003538_T02_IM5	2
P_0003538_T01_IM5	4
P_0003541_T01_IM5	4
P_0003556_T01_IM5	3
P_0003597_T02_IM5	3
P_0003597_T01_IM5	5
P_0003602_T01_IM5	2
P_0003605_T01_IM5	1
P_0003637_T01_IM5	4
P_0003655_T01_IM5	5
P_0003678_T01_IM5	2
P_0003684_T01_IM5	1
P_0003689_T01_IM5	3
P_0003695_T01_IM5	1
P_0003741_T01_IM5	2
P_0003758_T01_IM5	1
P_0003799_T02_IM5	3
P_0003799_T01_IM5	1
P_0003852_T01_IM5	1
P_0003856_T01_IM5	4
P_0003908_T01_IM3	1
P_0003939_T01_IM3	1
P_0003971_T02_IM5	5
P_0003993_T01_IM5	4
P_0004039_T01_IM5	3
P_0004063_T01_IM5	3
P_0004138_T01_IM5	5
P_0004221_T01_IM5	4
P_0004231_T02_IM5	1
P_0004231_T01_IM5	1
P_0004243_T01_IM5	4
P_0004283_T01_IM5	5
P_0004290_T03_IM5	2
P_0004297_T02_IM5	3
P_0004311_T01_IM5	1
P_0004325_T01_IM5	3
P_0004343_T01_IM5	4
P_0004345_T01_IM5	2
P_0004355_T01_IM5	4
P_0004389_T01_IM5	5
P_0004435_T01_IM5	1
P_0004448_T01_IM5	4
P_0004474_T01_IM5	5
P_0004482_T01_IM5	5
P_0004508_T01_IM5	3
P_0004514_T01_IM5	5
P_0004522_T01_IM5	1
P_0004526_T01_IM5	4
P_0004532_T01_IM5	4
P_0004538_T01_IM5	5
P_0004539_T01_IM5	4
P_0004556_T01_IM5	1
P_0004594_T01_IM5	2
P_0004597_T02_IM5	1
P_0004600_T01_IM5	5
P_0004600_T02_IM5	4
P_0004634_T01_IM5	1
P_0004675_T01_IM5	4
P_0004704_T01_IM5	1
P_0004735_T01_IM5	1
P_0004756_T01_IM5	4
P_0004816_T01_IM5	5
P_0004826_T01_IM5	5
P_0004892_T01_IM5	4
P_0004910_T01_IM5	2
P_0004910_T02_IM5	5
P_0004946_T01_IM5	3
P_0005052_T01_IM5	3
P_0005052_T02_IM5	2
P_0005064_T01_IM5	4
P_0005065_T03_IM5	4
P_0005065_T02_IM5	1
P_0005078_T01_IM5	5
P_0005081_T01_IM5	3
P_0005098_T01_IM5	5
P_0005098_T02_IM5	4
P_0005213_T01_IM5	4
P_0005216_T01_IM5	3
P_0005217_T03_IM5	2
P_0005324_T01_IM5	3
P_0005348_T01_IM5	5
P_0005422_T01_IM5	5
P_0005436_T02_IM5	2
P_0005436_T01_IM5	2
P_0005445_T01_IM5	1
P_0005460_T01_IM5	2
P_0005463_T01_IM5	1
P_0005535_T01_IM5	2
P_0005546_T01_IM5	2
P_0005552_T01_IM5	5
P_0005555_T01_IM5	3
P_0005557_T01_IM5	2
P_0005630_T01_IM5	2
P_0005639_T01_IM5	5
P_0005649_T01_IM5	3
P_0005692_T01_IM5	3
P_0005697_T03_IM5	3
P_0005698_T01_IM5	3
P_0005713_T01_IM5	5
P_0005760_T01_IM5	4
P_0005761_T01_IM5	3
P_0005773_T02_IM5	1
P_0005774_T01_IM5	2
P_0005787_T01_IM5	5
P_0005787_T02_IM5	4
P_0005802_T01_IM5	5
P_0005804_T01_IM5	2
P_0005806_T01_IM5	3
P_0005864_T01_IM5	1
P_0005890_T01_IM5	5
P_0005902_T01_IM5	2
P_0005953_T02_IM5	4
P_0005956_T01_IM5	2
P_0005970_T01_IM5	5
P_0005970_T02_IM5	3
P_0005970_T03_IM5	2
P_0005976_T01_IM5	5
P_0006029_T01_IM5	1
P_0006057_T01_IM5	2
P_0006108_T03_IM5	5
P_0006108_T02_IM5	4
P_0006226_T01_IM5	2
P_0006247_T01_IM5	3
P_0006346_T01_IM5	2
P_0006378_T01_IM5	4
P_0006379_T01_IM5	1
P_0006389_T01_IM5	3
P_0006393_T01_IM5	3
P_0006440_T01_IM5	3
P_0006461_T01_IM5	4
P_0006508_T01_IM5	3
P_0006573_T01_IM5	2
P_0006574_T01_IM5	3
P_0006584_T01_IM5	3
P_0006595_T01_IM5	1
P_0006602_T02_IM5	5
P_0006619_T01_IM5	1
P_0006635_T01_IM5	2
P_0006655_T01_IM5	1
P_0006670_T01_IM5	3
P_0006689_T01_IM5	2
P_0006749_T01_IM5	2
P_0006751_T01_IM5	2
P_0006757_T01_IM5	5
P_0006806_T01_IM5	1
P_0006815_T01_IM5	4
P_0006837_T02_IM5	4
P_0006837_T01_IM5	2
P_0006856_T01_IM5	1
P_0006962_T01_IM5	1
P_0006997_T01_IM5	5
P_0007005_T01_IM5	4
P_0007042_T01_IM5	1
P_0007078_T02_IM5	4
P_0007098_T01_IM5	4
P_0007137_T01_IM5	1
P_0007143_T01_IM5	3
P_0007182_T01_IM5	4
P_0007184_T01_IM5	1
P_0007267_T01_IM5	4
P_0007307_T01_IM5	5
P_0007313_T01_IM5	3
P_0007332_T01_IM5	3
P_0007343_T01_IM5	3
P_0007346_T01_IM5	3
P_0007350_T01_IM5	5
P_0007351_T01_IM5	3
P_0007358_T02_IM5	2
P_0007359_T01_IM5	4
P_0007366_T01_IM5	4
P_0007393_T01_IM5	4
P_0007416_T01_IM5	1
P_0007515_T01_IM5	1
P_0007533_T01_IM5	1
P_0007538_T01_IM5	2
P_0007576_T01_IM5	3
P_0007625_T01_IM5	2
P_0007629_T01_IM5	4
P_0007647_T02_IM5	5
P_0007647_T03_IM5	4
P_0007655_T01_IM5	2
P_0007734_T01_IM5	4
P_0007786_T01_IM5	3
P_0007848_T01_IM5	3
P_0007853_T01_IM5	5
P_0007874_T01_IM5	1
P_0007875_T01_IM5	2
P_0007877_T01_IM5	3
P_0007881_T01_IM5	2
P_0007900_T01_IM5	5
P_0007930_T01_IM5	1
P_0007965_T01_IM5	4
P_0007968_T01_IM5	1
P_0008044_T01_IM5	5
P_0008048_T01_IM5	5
P_0008057_T01_IM5	5
P_0008067_T01_IM5	5
P_0008069_T02_IM5	3
P_0008069_T01_IM5	3
P_0008077_T01_IM5	5
P_0008077_T02_IM5	1
P_0008098_T01_IM5	2
P_0008147_T01_IM5	3
P_0008232_T01_IM5	2
P_0008235_T01_IM5	3
P_0008301_T01_IM5	5
P_0008304_T01_IM5	3
P_0008315_T01_IM5	1
P_0008326_T01_IM5	1
P_0008330_T01_IM5	3
P_0008330_T02_IM5	4
P_0008335_T01_IM5	5
P_0008339_T01_IM5	1
P_0008344_T01_IM5	4
P_0008348_T01_IM5	3
P_0008351_T01_IM5	3
P_0008356_T01_IM5	2
P_0008387_T01_IM5	2
P_0008390_T01_IM5	3
P_0008393_T01_IM5	4
P_0008452_T01_IM5	2
P_0008470_T01_IM5	5
P_0008525_T01_IM5	5
P_0008542_T03_IM5	1
P_0008581_T01_IM5	4
P_0008591_T01_IM5	3
P_0008592_T01_IM5	4
P_0008597_T01_IM5	2
P_0008655_T01_IM5	2
P_0008661_T01_IM5	5
P_0008667_T01_IM5	2
P_0008669_T01_IM5	3
P_0008769_T02_IM5	1
P_0008810_T01_IM5	5
P_0008812_T01_IM5	4
P_0008832_T01_IM5	2
P_0008852_T01_IM5	3
P_0008858_T01_IM5	4
P_0008869_T01_IM5	4
P_0008879_T01_IM5	4
P_0008966_T01_IM5	3
P_0009002_T01_IM5	3
P_0009006_T01_IM5	2
P_0009044_T01_IM5	4
P_0009056_T01_IM5	5
P_0009073_T01_IM5	2
P_0009077_T01_IM5	3
P_0009082_T01_IM5	4
P_0009085_T01_IM5	5
P_0009090_T01_IM5	3
P_0009151_T01_IM5	4
P_0009175_T02_IM5	4
P_0009190_T01_IM5	2
P_0009338_T01_IM5	3
P_0009352_T01_IM5	4
P_0009361_T01_IM5	4
P_0009374_T02_IM5	5
P_0009409_T01_IM5	5
P_0009420_T01_IM5	4
P_0009536_T01_IM5	2
P_0009543_T01_IM5	3
P_0009543_T02_IM5	1
P_0009546_T01_IM5	1
P_0009556_T01_IM5	2
P_0009565_T01_IM5	3
P_0009565_T02_IM5	1
P_0009603_T01_IM5	1
P_0009640_T01_IM5	1
P_0009654_T01_IM5	2
P_0009663_T01_IM5	1
P_0009686_T01_IM5	1
P_0009699_T01_IM5	1
P_0009728_T01_IM5	3
P_0009746_T02_IM5	1
P_0009786_T01_IM5	2
P_0009787_T01_IM5	3
P_0009817_T01_IM5	4
P_0009819_T01_IM5	1
P_0009843_T01_IM5	5
P_0009892_T01_IM5	3
P_0009904_T01_IM5	4
P_0009914_T01_IM5	2
P_0009939_T01_IM5	1
P_0009942_T01_IM5	1
P_0009982_T01_IM5	5
P_0010029_T01_IM5	5
P_0010034_T01_IM5	4
P_0010071_T01_IM5	3
P_0010075_T01_IM5	2
P_0010076_T01_IM5	1
P_0010178_T01_IM5	1
P_0010179_T01_IM5	1
P_0010237_T01_IM5	4
P_0010272_T01_IM5	2
P_0010518_T01_IM5	5
P_0010523_T01_IM5	4
P_0010538_T01_IM5	1
P_0010572_T01_IM5	2
P_0010639_T01_IM5	2
P_0010656_T01_IM5	5
P_0010657_T01_IM5	3
P_0010659_T01_IM5	1
P_0010731_T01_IM5	1
P_0010746_T01_IM5	5
P_0010752_T01_IM5	5
P_0010794_T01_IM5	1
P_0010811_T01_IM5	4
P_0010823_T01_IM5	3
P_0010870_T01_IM5	3
P_0010920_T01_IM5	3
P_0010950_T01_IM5	5
P_0010952_T01_IM5	5
P_0011003_T01_IM5	2
P_0011046_T01_IM5	3
P_0011092_T01_IM5	1
P_0011093_T01_IM5	3
P_0011156_T01_IM5	2
P_0011188_T01_IM5	3
P_0011198_T01_IM5	3
P_0011263_T01_IM5	3
P_0011267_T01_IM5	3
P_0011290_T01_IM5	5
P_0011294_T01_IM5	3
P_0011310_T01_IM5	4
P_0011363_T01_IM5	1
P_0011364_T01_IM5	2
P_0011367_T01_IM5	2
P_0011368_T01_IM5	3
P_0011429_T01_IM5	5
P_0011465_T01_IM5	1
P_0011472_T01_IM5	4
P_0011483_T01_IM5	3
P_0011515_T01_IM5	1
P_0011525_T01_IM5	5
P_0011529_T01_IM5	1
P_0011553_T01_IM5	3
P_0011558_T01_IM5	1
P_0011577_T01_IM5	1
P_0012025_T01_IM5	5
P_0012026_T01_IM5	1
P_0012029_T01_IM5	5
P_0012030_T01_IM5	3
P_0012031_T01_IM5	2
P_0012039_T01_IM5	2
P_0012046_T01_IM5	5
P_0012048_T01_IM5	5
P_0012104_T01_IM5	1
P_0012109_T01_IM5	2
P_0012132_T01_IM5	5
P_0012136_T01_IM5	3
P_0012141_T01_IM5	3
P_0012145_T01_IM5	1
P_0012230_T01_IM5	1
P_0012271_T01_IM5	5
P_0012275_T01_IM5	5
P_0012284_T01_IM5	5
P_0012304_T01_IM5	4
P_0012321_T01_IM5	2
P_0012322_T01_IM5	2
P_0012324_T01_IM5	4
P_0012326_T01_IM5	4
P_0012327_T01_IM5	2
P_0012328_T01_IM5	5
P_0012332_T01_IM5	3
P_0012368_T01_IM5	1
P_0012375_T01_IM5	4
AD10003	3
AD1037	2
AD10568	4
AD10589	3
AD10634	2
AD10746	1
AD10808	4
AD10937	3
AD1096	1
AD11074	3
AD11230	5
AD11451	3
AD11608	2
AD11635	4
AD11682	1
AD11701	4
AD11724	2
AD11735	5
AD11770	2
AD11964	2
AD12042	2
AD12055	3
AD12386	4
AD12498	5
AD12771	3
AD12885	1
AD13010	2
AD13011	4
AD13205	4
AD1324	2
AD13318	5
AD13350	2
AD13354	3
AD13466	5
AD13689	1
AD13729	4
AD1378	2
AD13918	2
AD14054	2
AD14130	2
AD14150	1
AD14260	1
AD14369	2
AD14410	3
AD14458	1
AD14635	1
AD14673	1
AD14874	2
AD14910	3
AD15269	4
AD15313	1
AD15354	4
AD15367	2
AD15517	3
AD15543	1
AD15662	5
AD15920	4
AD16585	4
AD16598	1
AD16811	5
AD1687	2
AD16934	5
AD16958	1
AD1698	4
AD17106	2
AD1718	1
AD17220	1
AD1734	2
AD17382	1
AD17391	1
AD17504	5
AD17749	1
AD17903	4
AD1912	5
AD1966	5
AD2094	4
AD2255	1
AD2537	4
AD2698	5
AD2876	4
AD2900	5
AD2913	3
AD3010	3
AD3025	4
AD3493	2
AD352	2
AD3535	2
AD3554	5
AD3709	5
AD381	2
AD3894	2
AD3917	2
AD4331	5
AD4525	2
AD4534	5
AD4579	4
AD4741	5
AD4842	2
AD496	4
AD4972	5
AD4976	5
AD4992	1
AD5219	5
AD5297	4
AD5358	4
AD5436	2
AD5700	3
AD5780	4
AD5854	4
AD5890	5
AD5927	5
AD6032	3
AD6038	3
AD6045	2
AD6061	3
AD6267	4
AD6315	2
AD635	3
AD6389	4
AD639	4
AD6463	3
AD6512	1
AD6598	5
AD6666	2
AD6683	3
AD6688	4
AD6761	4
AD697	4
AD7	5
AD7055	2
AD7057	5
AD7168	4
AD7248	3
AD7266	5
AD7317	1
AD7350	1
AD7384	5
AD7478	2
AD7561	1
AD7573	4
AD7670	5
AD7842	2
AD787	5
AD794	1
AD8080	4
AD8120	3
AD8150	4
AD8214	3
AD8306	4
AD8392	4
AD8451	4
AD8700	2
AD8727	4
AD873	4
AD8854	4
AD8883	5
AD9181	3
AD9443	3
AD9552	1
AD9756	3
AD9924	2
